"Credit Date","Deposit Date","Store ID","Retek Code",Brand,"Collection Bank",Status,"Credit Amount","Net Amount","Difference [Credit - Net]","Recon Status"
02-04-2024,02-04-2024,4809,34809,"AS PRIME","ICICI Cash","Not Matched",19920.00,7240.00,12680.00,Pending
02-04-2024,02-04-2024,4809,34809,"AS PRIME","ICICI Cash","Not Matched",19920.00,12680.00,7240.00,Pending
02-04-2024,02-04-2024,5735,55735,"AMERICAN EAGLE","ICICI Cash","Not Matched",71030.00,66130.00,4900.00,Pending
02-04-2024,02-04-2024,5766,85766,"VAN HEUSEN VALUE STORE","ICICI Cash","Not Matched",29181.00,20287.00,8894.00,Pending
02-04-2024,02-04-2024,5792,85792,"LOUIS PHILIPPE VALUE STORE","ICICI Cash","Not Matched",39098.00,38578.00,520.00,Pending
02-04-2024,02-04-2024,7858,37858,"AS PRIME","ICICI Cash","Not Matched",3040.00,21520.00,-18480.00,Pending
03-04-2024,03-04-2024,5913,85913,"VAN HEUSEN VALUE STORE","ICICI Cash","Not Matched",251380.00,234880.00,16500.00,Pending
04-04-2024,04-04-2024,8114,28114,"VAN HEUSEN","ICICI Cash","Not Matched",9400.00,14200.00,-4800.00,Pending
05-04-2024,05-04-2024,1953,31953,"ALLEN SOLLY","ICICI Cash","Not Matched",32720.00,33220.00,-500.00,Pending
05-04-2024,05-04-2024,2906,32906,"ALLEN SOLLY","ICICI Cash","Not Matched",46530.00,50530.00,-4000.00,Pending
05-04-2024,05-04-2024,8114,28114,"VAN HEUSEN","ICICI Cash","Not Matched",9180.00,26390.00,-17210.00,Pending
06-04-2024,06-04-2024,2158,42158,"PLANET FASHION","ICICI Cash","Not Matched",9200.00,47070.00,-37870.00,Pending
06-04-2024,06-04-2024,4809,34809,"AS PRIME","ICICI Cash","Not Matched",5212.00,12452.00,-7240.00,Pending
06-04-2024,06-04-2024,9747,19747,"LOUIS PHILIPPE","ICICI Cash","Not Matched",19200.00,21810.00,-2610.00,Pending
08-04-2024,08-04-2024,1581,21581,"VAN HEUSEN","ICICI Cash","Not Matched",188940.00,189440.00,-500.00,Pending
08-04-2024,08-04-2024,3607,63607,"PE RED","ICICI Cash","Not Matched",38740.00,77480.00,-38740.00,Pending
08-04-2024,08-04-2024,9617,19617,"LOUIS PHILIPPE","ICICI Cash","Not Matched",16800.00,26800.00,-10000.00,Pending
10-04-2024,10-04-2024,6459,36459,"AS PRIME","ICICI Cash","Not Matched",33300.00,66600.00,-33300.00,Pending
10-04-2024,10-04-2024,6856,36856,"AS PRIME","ICICI Cash","Not Matched",5500.00,17600.00,-12100.00,Pending
12-04-2024,12-04-2024,3080,13080,"LOUIS PHILIPPE","ICICI Cash","Not Matched",51370.00,65320.00,-13950.00,Pending
15-04-2024,15-04-2024,1083,11083,"LOUIS PHILIPPE","ICICI Cash","Not Matched",265320.00,265820.00,-500.00,Pending
15-04-2024,15-04-2024,2115,42115,"PLANET FASHION","ICICI Cash","Not Matched",55730.00,35730.00,20000.00,Pending
15-04-2024,15-04-2024,2115,42115,"PLANET FASHION","ICICI Cash","Not Matched",55730.00,20000.00,35730.00,Pending
15-04-2024,15-04-2024,3709,13709,"LOUIS PHILIPPE","ICICI Cash","Not Matched",121030.00,138830.00,-17800.00,Pending
15-04-2024,15-04-2024,4890,34890,"AS PRIME","ICICI Cash","Not Matched",16250.00,10.00,16240.00,Pending
15-04-2024,15-04-2024,4893,34893,"AS PRIME","ICICI Cash","Not Matched",17190.00,1500.00,15690.00,Pending
15-04-2024,15-04-2024,4893,34893,"AS PRIME","ICICI Cash","Not Matched",17190.00,15690.00,1500.00,Pending
15-04-2024,15-04-2024,5906,85906,"PEM VALUE STORE","ICICI Cash","Not Matched",61710.00,59910.00,1800.00,Pending
15-04-2024,15-04-2024,5906,85906,"PEM VALUE STORE","ICICI Cash","Not Matched",61710.00,1800.00,59910.00,Pending
15-04-2024,15-04-2024,6216,66216,"PE BLUE","ICICI Cash","Not Matched",24190.00,18540.00,5650.00,Pending
15-04-2024,15-04-2024,6216,66216,"PE BLUE","ICICI Cash","Not Matched",24190.00,5650.00,18540.00,Pending
15-04-2024,15-04-2024,8292,28292,"VH GOLD","ICICI Cash","Not Matched",22030.00,19030.00,3000.00,Pending
15-04-2024,15-04-2024,8292,28292,"VH GOLD","ICICI Cash","Not Matched",22030.00,3000.00,19030.00,Pending
15-04-2024,15-04-2024,8295,28295,"VH GOLD","ICICI Cash","Not Matched",5650.00,3650.00,2000.00,Pending
15-04-2024,15-04-2024,8295,28295,"VH GOLD","ICICI Cash","Not Matched",5650.00,2000.00,3650.00,Pending
15-04-2024,15-04-2024,9483,19483,"LP ALL STAR","ICICI Cash","Not Matched",14300.00,6900.00,7400.00,Pending
15-04-2024,15-04-2024,9483,19483,"LP ALL STAR","ICICI Cash","Not Matched",14300.00,7400.00,6900.00,Pending
15-04-2024,15-04-2024,9756,29756,"VAN HEUSEN","ICICI Cash","Not Matched",47960.00,21300.00,26660.00,Pending
15-04-2024,15-04-2024,9756,29756,"VAN HEUSEN","ICICI Cash","Not Matched",47960.00,26660.00,21300.00,Pending
15-04-2024,15-04-2024,9782,29782,"VAN HEUSEN","ICICI Cash","Not Matched",71900.00,35950.00,35950.00,Pending
15-04-2024,15-04-2024,9782,29782,"VAN HEUSEN","ICICI Cash","Not Matched",71900.00,35950.00,35950.00,Pending
15-04-2024,15-04-2024,9996,29996,"VAN HEUSEN","ICICI Cash","Not Matched",17500.00,12400.00,5100.00,Pending
15-04-2024,15-04-2024,9996,29996,"VAN HEUSEN","ICICI Cash","Not Matched",17500.00,5100.00,12400.00,Pending
16-04-2024,16-04-2024,3714,13714,"LOUIS PHILIPPE","ICICI Cash","Not Matched",12900.00,68270.00,-55370.00,Pending
16-04-2024,16-04-2024,3780,13780,"LOUIS PHILIPPE","ICICI Cash","Not Matched",49650.00,57400.00,-7750.00,Pending
16-04-2024,16-04-2024,8097,28097,"VAN HEUSEN","ICICI Cash","Not Matched",55350.00,63950.00,-8600.00,Pending
19-04-2024,19-04-2024,1569,21569,"VAN HEUSEN","ICICI Cash","Not Matched",66990.00,67490.00,-500.00,Pending
25-04-2024,25-04-2024,1083,11083,"LOUIS PHILIPPE","ICICI Cash","Not Matched",102770.00,103270.00,-500.00,Pending
25-04-2024,25-04-2024,3429,43429,"PLANET FASHION","ICICI Cash","Not Matched",18840.00,104480.00,-85640.00,Pending
29-04-2024,29-04-2024,4809,34809,"AS PRIME","ICICI Cash","Not Matched",34200.00,17100.00,17100.00,Pending
29-04-2024,29-04-2024,4809,34809,"AS PRIME","ICICI Cash","Not Matched",34200.00,17100.00,17100.00,Pending
30-04-2024,30-04-2024,8298,28298,"VAN HEUSEN","ICICI Cash","Not Matched",22350.00,29450.00,-7100.00,Pending
02-05-2024,02-05-2024,1083,11083,"LOUIS PHILIPPE","ICICI Cash","Not Matched",25000.00,25500.00,-500.00,Pending
02-05-2024,02-05-2024,9971,29971,"VAN HEUSEN","ICICI Cash","Not Matched",10310.00,16310.00,-6000.00,Pending
