row_type,entry_id,type_of_en,dr_cr,entry_amt,val_dt,post_dt,prod_code,pkup_loc,pkup_pt,pkup_dt,dept_slip,dept_dt,dept_amt,no_of_inst,dept_rmk,d1,inst_no,drawee_bk,cl_loc,inst_amt,inst_dt,drawer_name,e1,e2,e3,return_reason_remarks,,,,
H,6062023,6062023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,2306050007Y4,T,C,15095,6062023,5062023,CASH      ,SERAIKELA (JHARKHAND) 833 219           ,66074,5062023,17952573,5062023,15095,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,SERAIKELA (JHARKHAND) 833 219           ,15095,5062023,ADITYA BIRLA                            ,5062023, ,ADITYA BIRLA                              ,                                                                                                                                                                                                                                                               ,,,,
D,230605000FTQ,T,C,13440,6062023,5062023,CASH      ,GOKAK 591307 (KARNATAKA)                ,49409,5062023,12478996,5062023,13440,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,GOKAK 591307 (KARNATAKA)                ,13440,5062023,49409, , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605000I74,T,C,14088,6062023,5062023,CASH      ,Hazaribagh ( JHARKHAND ) 825 301        ,66285,5062023,16869216,5062023,14088,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Hazaribagh ( JHARKHAND ) 825 301        ,14088,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605000KP4,T,C,8200,6062023,5062023,CASH      ,Susari,66662,5062023,17419992,5062023,8200,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Susari,8200,5062023,AADITYA BIRLA                           ,5062023,77,AADITYA BIRLA                             ,                                                                                                                                                                                                                                                               ,AADITYA BIRLA                             ,,,                                                                                                                                                                                                                                                               
D,230605000W8E,T,C,13059,6062023,5062023,CASH      ,SUPAUL - 852131 (Bihar)                 ,63897,5062023,15673282,5062023,13059,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,SUPAUL - 852131 (Bihar)                 ,13059,5062023,SANOJ KUMAR                             ,5062023,64,ADITYA BIRLA FASHION  AND RETAIL LTD      ,                                                                                                                                                                                                                                                               ,,,,
D,230605000WF4,T,C,10680,6062023,5062023,CASH      ,OSMANABAD - (MAHARASHTRA) - 413501      ,67763,5062023,16964175,5062023,10680,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,OSMANABAD - (MAHARASHTRA) - 413501      ,10680,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605000XBS,T,C,18535,6062023,5062023,CASH      ,VINUKONDA(NON GDCCB/CLAB/CBI) AP 522 647,37855,5062023,19801820,5062023,18535,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,VINUKONDA(NON GDCCB/CLAB/CBI) AP 522 647,18535,5062023,ADITYA BIRLA FASHION AND RETAIL LIMITED ,5062023,19801820,NA                                        ,                                                                                                                                                                                                                                                               ,,,,
D,2306050015MK,T,C,21760,6062023,5062023,CASH      ,SHRIRAMPUR MAHARASHTRA 413709           ,27764,5062023,2776400133,5062023,21760,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,SHRIRAMPUR MAHARASHTRA 413709           ,21760,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050015VY,T,C,7000,6062023,5062023,CASH      ,SHRIRAMPUR MAHARASHTRA 413709           ,27764,5062023,2776400134,5062023,7000,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,SHRIRAMPUR MAHARASHTRA 413709           ,7000,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605001C8E,T,C,6550,6062023,5062023,CASH      ,Cochin                                  ,17069,5062023,18658429,5062023,6550,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Cochin                                  ,6550,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605001H7I,T,C,21000,6062023,5062023,CASH      ,Dumka (Dt- Dumka) JHARKHAND 814 101     ,29814,5062023,15158522,5062023,21000,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dumka (Dt- Dumka) JHARKHAND 814 101     ,21000,5062023,NA                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605001S2U,T,C,15998,6062023,5062023,CASH      ,KISHANGANJ - (BIHAR) 855107             ,66424,5062023,15486201,5062023,15998,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,KISHANGANJ - (BIHAR) 855107             ,15998,5062023,ADITYA BIRLA FASHION AND RETAIL LTD     , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605001SAY,T,C,7300,6062023,5062023,CASH      ,Darbhanga -Bihar- 846 004               ,21239,5062023,19451049,5062023,7300,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Darbhanga -Bihar- 846 004               ,7300,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605001TYK,T,C,5200,6062023,5062023,CASH      ,GUMLA (DIST-RANCHI) JHAR 835 207        ,66119,5062023,16992270,5062023,5200,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,GUMLA (DIST-RANCHI) JHAR 835 207        ,5200,5062023,ADITYA BIRLA FASHION GUMLA              , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050023OK,T,C,12800,6062023,5062023,CASH      ,GAYA  BIHAR- 823 001                    ,21175,5062023,16869625,5062023,12800,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,GAYA  BIHAR- 823 001                    ,12800,5062023,ADITYA BIRLA FASHION AND RETAIL LIMITED , , , ,                                                                                                                                                                                                                                                               ,,,,
D,23060500267Q,T,C,20700,6062023,5062023,CASH      ,Quilon                                  ,13398,5062023,19183496,5062023,20700,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Quilon                                  ,20700,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050027KA,T,C,5950,6062023,5062023,CASH      ,Trichur                                 ,37560,5062023,6599129,5062023,5950,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Trichur                                 ,5950,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002BSU,T,C,8800,6062023,5062023,CASH      ,Quilon                                  ,13270,5062023,18664812,5062023,8800,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Quilon                                  ,8800,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002LP8,T,C,7695,6062023,5062023,CASH      ,Raichur (584101) Kar                    ,39838,5062023,14221682,5062023,7695,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Raichur (584101) Kar                    ,7695,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002T0M,T,C,9794,6062023,5062023,CASH      ,TUTICORIN (TAMILNADU) 628 008           ,37683,5062023,3768300249,5062023,9794,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TUTICORIN (TAMILNADU) 628 008           ,9794,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002VHG,T,C,12710,6062023,5062023,CASH      ,Motihari Bihar                          ,21119,5062023,21010977,5062023,12710,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Motihari Bihar                          ,12710,5062023,ADITYA BIRLA FASHION AND RETAIL LTD     , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002XOS,T,C,20870,6062023,5062023,CASH      ,Karimnagar(Karimnagar) Telangana 505 001,29699,5062023,16605176,5062023,20870,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Karimnagar(Karimnagar) Telangana 505 001,20870,5062023,ADITYA BIRLA FASHIONS                   , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605002YKC,T,C,30300,6062023,5062023,CASH      ,Sivakasi (KAMARAJAR ) TN 626123         ,66530,5062023,17939973,5062023,30300,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Sivakasi (KAMARAJAR ) TN 626123         ,30300,5062023,                                        ,5062023,17939973,NA                                        ,                                                                                                                                                                                                                                                               ,,,,
D,230605002Z5A,T,C,10044,6062023,5062023,CASH      ,TUTICORIN (TAMILNADU) 628 008           ,37683,5062023,3768300250,5062023,10044,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TUTICORIN (TAMILNADU) 628 008           ,10044,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003JOS,T,C,10900,6062023,5062023,CASH      ,Dhanabad                                ,16965,5062023,1696500291,5062023,10900,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dhanabad                                ,10900,5062023,NM                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003JOW,T,C,23030,6062023,5062023,CASH      ,Dhanabad                                ,16965,5062023,1696500292,5062023,23030,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dhanabad                                ,23030,5062023,NM                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,230605003KL4,T,C,21500,6062023,5062023,CASH      ,Dimapur (KOHIMA) NAGALAND - 797112      ,8461,5062023,13950434,5062023,21500,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,Dimapur (KOHIMA) NAGALAND - 797112      ,21500,5062023,NOT MENTION ON THE SLIP                 ,5062023,NOT MENTION         ,NOT MENTION                               ,                                                                                                                                                                                                                                                               ,,,,
D,230605003NWG,T,C,19000,6062023,5062023,CASH      ,JAMSHEDPUR 831 001                      ,66542,5062023,17932598,5062023,19000,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,JAMSHEDPUR 831 001                      ,19000,5062023,                                        , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050042DQ,T,C,18800,6062023,5062023,CASH      ,CHHINDWARA (NON GOVT CHQS) 480 001      ,39661,5062023,16742280,5062023,18800,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,CHHINDWARA (NON GOVT CHQS) 480 001      ,18800,5062023,CASH                                    , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050047OI,T,C,31600,6062023,5062023,CASH      ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,62801,5062023,18940882,5062023,31600,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,31600,5062023,NA                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
D,2306050047P2,T,C,29790,6062023,5062023,CASH      ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,62801,5062023,19020044,5062023,29790,1,                                        ,,CASH      ,HDFC Bank Ltd                           ,TIRUPATHI (NON TCD/TTCBL BK) AP 517 501 ,29790,5062023,NA                                      , , , ,                                                                                                                                                                                                                                                               ,,,,
